"","FID","Name","Address","Location","geom","Document","HoCo.ID","Tax.Map","Block","Parcel","Lot","Building.Name","Common.Name","Survey.Year","Comments","ZipCode","Menu_Item1","Menu_Item2"
"110","Historic_Sites_View.fid-e93e948_15090ed509b_-1960","Unnamed","8482 Leishear Rd","","POINT (1346823.5999999999 535607.13)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-692.pdf"" TARGET=""NEW"">Click Here </a>",692,46,12,212,3,"Unnamed","","1997","",NA,NA,NA
"111","Historic_Sites_View.fid-e93e948_15090ed509b_-1961","Unnamed","8477 Leishear Rd","Laurel","POINT (1347116.5499999998 535617.375)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-691.pdf"" TARGET=""NEW"">Click Here </a>",691,46,12,29,0,"Unnamed","","1997","Demo permit for SFD 1/5/2005 completed, new structure built",NA,NA,NA
"112","Historic_Sites_View.fid-e93e948_15090ed509b_-1962","Unnamed","8474 Leishear Rd","Laurel","POINT (1346849.64 535710.4349999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-690.pdf"" TARGET=""NEW"">Click Here </a>",690,46,16,212,0,"Unnamed","","1997","",NA,NA,NA
"113","Historic_Sites_View.fid-e93e948_15090ed509b_-1963","Unnamed","8466 Leishear Rd","","POINT (1346890.92 535790.0399999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-689.pdf"" TARGET=""NEW"">Click Here </a>",689,46,12,212,5,"Unnamed","","1997","",NA,NA,NA
"114","Historic_Sites_View.fid-e93e948_15090ed509b_-1964","Unnamed","8449 Leishear Rd","Laurel","POINT (1347129.72 536001.33)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-688.pdf"" TARGET=""NEW"">Click Here </a>",688,46,12,315,1,"Unnamed","","1997","",NA,NA,NA
"115","Historic_Sites_View.fid-e93e948_15090ed509b_-1965","Forest Motel","10021 Baltimore National","Ellicott City","POINT (1352730.1199999999 587077.3949999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1017.pdf"" TARGET=""NEW"">Click Here </a>",1017,24,2,72,0,"Forest Motel","","2010","scheduled to be demolished in the future",NA,NA,NA
"116","Historic_Sites_View.fid-e93e948_15090ed509b_-1966","Forest Diner","10031 Baltimore National","Ellicott City","POINT (1352585.5499999998 587174.5499999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1016.pdf"" TARGET=""NEW"">Click Here </a>",1016,24,2,72,0,"Forest Diner","","2010","scheduled to be demolished in the future",NA,NA,NA
"117","Historic_Sites_View.fid-e93e948_15090ed509b_-1967","Bridge #HO-111","","","POINT (1370758.41 585394.5299999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-741.pdf"" TARGET=""NEW"">Click Here </a>",741,25,8,0,0,"Bridge #HO-111","","UNK","",NA,NA,NA
"118","Historic_Sites_View.fid-e93e948_15090ed509b_-1968","Williams Run Water Statio","","","POINT (1375485.3599999999 578901.1799999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-736.pdf"" TARGET=""NEW"">Click Here </a>",736,25,22,0,0,"Williams Run Water Station","","2004","",NA,NA,NA
"119","Historic_Sites_View.fid-e93e948_15090ed509b_-1969","Charles H. Thomas House","","","POINT (1374957.1199999999 578975.505)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-735.pdf"" TARGET=""NEW"">Click Here </a>",735,25,21,0,0,"Charles H. Thomas House","","2004","",NA,NA,NA
"120","Historic_Sites_View.fid-e93e948_15090ed509b_-196a","Gray's Water Station","","","POINT (1374241.5899999999 579253.23)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-734.pdf"" TARGET=""NEW"">Click Here </a>",734,25,21,0,0,"Gray's Water Station","","2004","",NA,NA,NA
"121","Historic_Sites_View.fid-e93e948_15090ed509b_-196b","Patapsco Quarry Company (","","","POINT (1372221.42 581597.6549999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-733.pdf"" TARGET=""NEW"">Click Here </a>",733,25,14,0,0,"Patapsco Quarry Company (Lots 1 & 2)","","2004","",NA,NA,NA
