FID,Document,HoCo ID,Name,Address,Tax Map,Block,Parcel,Lot,Building Name,Common Name,Location,Survey Year,Comments,geom
Historic_Sites_View.fid-e93e948_15090ed509b_-1bfe,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-319.pdf"" TARGET=""NEW"">Click Here </a>",319,George Pocock House,5741-45 Main St,38,4,783,0,George Pocock House,Tilghman-Ferraro House,Elkridge,1978,,POINT (1394784.0899999999 564548.2949999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1bfd,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Pocock-Rodgers House,5749-53 Main St,38,4,349,0,Pocock-Rodgers House,,Elkridge,1978,,POINT (1394828.88 564473.6699999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1bfc,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-321.pdf"" TARGET=""NEW"">Click Here </a>",321,The Gonzales House,5761 Main St,38,4,693,0,Gonzales House,,Elkridge,1978,,POINT (1394736.1199999999 564367.4249999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1bfb,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-322.pdf"" TARGET=""NEW"">Click Here </a>",322,Pfeiffer's Blacksmith Sho,8170 Old Montgomery Rd,37,8,71,1,Pfeiffer's Corner Blacksmith Shop,,Ellicott City,1979,,POINT (1369976.49 561310.7699999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1bfa,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-324.pdf"" TARGET=""NEW"">Click Here </a>",324,E T Clark House,8765 Ruppert Ct,24,12,248,0,Matthews - E. T. Clark House,,Ellicott City,1980,Ruppert Subdivision,POINT (1364720.5499999998 583720.7849999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1bf9,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-325.pdf"" TARGET=""NEW"">Click Here </a>",325,Caleb Merryman's Bldngs,8333 Main St,25,0,74,0,Caleb Merryman's Two Frame Buildings,,Ellicott City,1977,,POINT (1368969.48 583281.255)
Historic_Sites_View.fid-e93e948_15090ed509b_-1bf8,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-327.pdf"" TARGET=""NEW"">Click Here </a>",327,James Earp House/Store,5765 Main St,38,4,694,0,Kloman Building,,Elkridge,1979,,POINT (1394679.63 564324.99)
Historic_Sites_View.fid-e93e948_15090ed509b_-1bf7,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-307.pdf"" TARGET=""NEW"">Click Here </a>",307,David Meyer's House,3786 Old Columbia Pike,25,0,129,0,David Myers House,,Ellicott City,1981,,POINT (1368949.3199999998 582626.595)
Historic_Sites_View.fid-e93e948_15090ed509b_-1bf6,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-329.pdf"" TARGET=""NEW"">Click Here </a>",329,Howard Lodge # 101,5814 Main St,38,4,763,0,Howard Lodge #101 Masonic Building,,Elkridge,2003,,POINT (1394122.71 564004.5299999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1bf5,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-331.pdf"" TARGET=""NEW"">Click Here </a>",331,Oakland Manor Slave Qrtrs,10102 Hyla Brook Rd,30,19,238,23,Oakland Manor Slave Quarters,,Columbia,1980,,POINT (1351683.8699999999 567485.85)
